datetime,cash,holding_value,total_value
2024-01-02,600595.48104175,423195.0,1023790.48104175
2024-01-03,643848.1332302501,448590.0,1092438.13323025
2024-01-04,638199.5249738502,438111.0,1076310.5249738502
2024-01-05,1054430.6571979001,0.0,1054430.6571979001
2024-01-08,1054430.6571979001,0.0,1054430.6571979001
2024-01-09,1054430.6571979001,0.0,1054430.6571979001
2024-01-10,634278.6962029001,426816.0,1061094.6962029003
2024-01-11,622660.3338470502,416304.0,1038964.3338470502
2024-01-12,1014285.2374400503,0.0,1014285.2374400503
2024-01-15,608736.0335747504,398898.00000000006,1007634.0335747504
2024-01-16,991384.3259186505,0.0,991384.3259186505
2024-01-17,991384.3259186505,0.0,991384.3259186505
2024-01-18,594810.5045018506,388240.0,983050.5045018506
2024-01-19,985759.8136610506,0.0,985759.8136610506
2024-01-22,985759.8136610506,0.0,985759.8136610506
2024-01-23,985759.8136610506,0.0,985759.8136610506
2024-01-24,985759.8136610506,0.0,985759.8136610506
2024-01-25,985759.8136610506,0.0,985759.8136610506
2024-01-26,594225.0140960506,396032.0,990257.0140960506
2024-01-29,555834.7479991007,381789.0,937623.7479991007
2024-01-30,555978.8416288007,378000.0,933978.8416288007
2024-01-31,569722.9623388008,428254.0,997976.9623388008
2024-02-01,569722.9623388008,385382.0,955104.9623388008
2024-02-02,540334.2776914008,434518.0,974852.2776914008
2024-02-05,540334.2776914008,391181.0,931515.2776914008
2024-02-06,540334.2776914008,352149.0,892483.2776914008
2024-02-07,509053.8595478509,393432.0,902485.8595478509
2024-02-08,895078.1252606509,0.0,895078.1252606509
2024-02-19,542877.9142612008,350237.0,893114.9142612008
2024-02-20,537132.2017949509,362284.0,899416.2017949509
2024-02-21,551536.7413370509,348468.0,900004.7413370509
2024-02-22,902208.229681151,0.0,902208.229681151
2024-02-23,902208.229681151,0.0,902208.229681151
2024-02-26,542110.2824870511,365650.0,907760.2824870511
2024-02-27,570984.1405531012,388289.0,959273.1405531012
2024-02-28,569964.3317251011,356627.99999999994,926592.331725101
2024-02-29,545785.4359376512,388139.0,933924.4359376512
2024-03-01,550437.4191928012,378839.99999999994,929277.4191928012
2024-03-04,950981.9682320512,0.0,950981.9682320512
2024-03-05,572993.2921439513,370852.0,943845.2921439513
2024-03-06,942120.7012114013,0.0,942120.7012114013
2024-03-07,565532.8651933013,364791.0,930323.8651933013
2024-03-08,939843.1629200514,0.0,939843.1629200514
2024-03-11,563990.7679387014,396399.0,960389.7679387014
2024-03-12,941122.3720066014,0.0,941122.3720066014
2024-03-13,565074.8600155014,371382.0,936456.8600155014
2024-03-14,581668.1924680014,375874.0,957542.1924680014
2024-03-15,565715.2846928515,373175.0,938890.2846928515
2024-03-18,564126.4178357515,394240.00000000006,958366.4178357515
2024-03-19,560818.4640929515,369712.0,930530.4640929515
2024-03-20,545217.6369347515,376437.0,921654.6369347515
2024-03-21,930015.6387862016,0.0,930015.6387862016
2024-03-22,559893.6802912016,373873.0,933766.6802912016
2024-03-25,572790.3865588016,402432.0,975222.3865588016
2024-03-26,952978.1559796017,0.0,952978.1559796017
2024-03-27,572190.8015516517,363135.0,935325.8015516517
2024-03-28,957030.7782052017,0.0,957030.7782052017
2024-03-29,957030.7782052017,0.0,957030.7782052017
2024-04-01,574316.2680809518,390194.0,964510.2680809518
2024-04-02,952423.2865976517,0.0,952423.2865976517
2024-04-03,952423.2865976517,0.0,952423.2865976517
2024-04-08,952423.2865976517,0.0,952423.2865976517
2024-04-09,572179.2579968517,382704.0,954883.2579968517
2024-04-10,948945.0816464517,0.0,948945.0816464517
2024-04-11,569617.6026914518,389135.0,958752.6026914518
2024-04-12,962976.4653712017,0.0,962976.4653712017
2024-04-15,579250.3485964017,359368.0,938618.3485964017
2024-04-16,204310.50086065178,705746.0,910056.5008606517
2024-04-17,707321.1198385019,215600.0,922921.1198385019
2024-04-18,928948.074926502,0.0,928948.074926502
2024-04-19,928948.074926502,0.0,928948.074926502
2024-04-22,557800.501380252,368118.0,925918.501380252
2024-04-23,541503.044987052,365965.0,907468.044987052
2024-04-24,179285.82688705204,800373.0,979658.826887052
2024-04-25,572001.0759346021,442815.0,1014816.0759346021
2024-04-26,1032559.5979763521,0.0,1032559.5979763521
2024-04-29,620880.7182047521,439951.99999999994,1060832.718204752
2024-04-30,1054620.339904752,0.0,1054620.339904752
2024-05-06,1054620.339904752,0.0,1054620.339904752
2024-05-07,632887.4308307522,427648.0,1060535.4308307522
2024-05-08,646358.3107301523,408430.0,1054788.3107301523
2024-05-09,1067460.5187979024,0.0,1067460.5187979024
2024-05-10,641284.9455019024,469479.99999999994,1110764.9455019024
2024-05-13,199191.82661050244,984579.0,1183770.8266105023
2024-05-14,929950.9695823025,193032.0,1122982.9695823025
2024-05-15,667458.7554767526,456304.0,1123762.7554767528
2024-05-16,640947.4509773527,436808.0,1077755.4509773527
2024-05-17,634106.8154609527,432796.0,1066902.8154609527
2024-05-20,1066237.4030804527,0.0,1066237.4030804527
2024-05-21,640161.8897894528,419498.99999999994,1059660.8897894528
2024-05-22,1078726.6149308528,0.0,1078726.6149308528
2024-05-23,650183.6219165528,411803.99999999994,1061987.6219165528
2024-05-24,955655.2441993027,0.0,955655.2441993027
2024-05-27,573583.1193071527,396207.0,969790.1193071527
2024-05-28,558639.1405826528,387072.0,945711.1405826528
2024-05-29,951943.0362596528,0.0,951943.0362596528
2024-05-30,951943.0362596528,0.0,951943.0362596528
2024-05-31,951943.0362596528,0.0,951943.0362596528
2024-06-03,571699.007658853,357318.0,929017.007658853
2024-06-04,557869.031389153,365015.99999999994,922885.0313891529
2024-06-05,577854.764211103,367950.0,945804.764211103
2024-06-06,583403.560911403,363600.0,947003.560911403
2024-06-07,948584.339181403,0.0,948584.339181403
2024-06-11,948584.339181403,0.0,948584.339181403
2024-06-12,948584.339181403,0.0,948584.339181403
2024-06-13,948584.339181403,0.0,948584.339181403
2024-06-14,570067.346266903,387068.0,957135.346266903
2024-06-17,958574.1217039031,0.0,958574.1217039031
2024-06-18,958574.1217039031,0.0,958574.1217039031
2024-06-19,958574.1217039031,0.0,958574.1217039031
2024-06-20,958574.1217039031,0.0,958574.1217039031
2024-06-21,958574.1217039031,0.0,958574.1217039031
2024-06-24,958574.1217039031,0.0,958574.1217039031
2024-06-25,958574.1217039031,0.0,958574.1217039031
2024-06-26,958574.1217039031,0.0,958574.1217039031
2024-06-27,958574.1217039031,0.0,958574.1217039031
2024-06-28,958574.1217039031,0.0,958574.1217039031
2024-07-01,576993.2914363032,434204.0,1011197.2914363032
2024-07-02,576993.2914363032,477566.0,1054559.2914363032
2024-07-03,1084768.4688403031,0.0,1084768.4688403031
2024-07-04,1084768.4688403031,0.0,1084768.4688403031
2024-07-05,1084768.4688403031,0.0,1084768.4688403031
2024-07-08,1084768.4688403031,0.0,1084768.4688403031
2024-07-09,1084768.4688403031,0.0,1084768.4688403031
2024-07-10,1084768.4688403031,0.0,1084768.4688403031
2024-07-11,1084768.4688403031,0.0,1084768.4688403031
2024-07-12,1084768.4688403031,0.0,1084768.4688403031
2024-07-15,1084768.4688403031,0.0,1084768.4688403031
2024-07-16,653029.5592663032,460184.0,1113213.5592663032
2024-07-17,1096755.186265903,0.0,1096755.186265903
2024-07-18,658972.6523899031,472882.0,1131854.652389903
2024-07-19,916981.7668981031,240349.99999999997,1157331.766898103
2024-07-22,916981.7668981031,264500.0,1181481.766898103
2024-07-23,916981.7668981031,290950.0,1207931.766898103
2024-07-24,1196034.248859103,0.0,1196034.248859103
2024-07-25,1196034.248859103,0.0,1196034.248859103
2024-07-26,1196034.248859103,0.0,1196034.248859103
2024-07-29,1196034.248859103,0.0,1196034.248859103
2024-07-30,717747.4249591031,512894.0,1230641.424959103
2024-07-31,226243.67499865312,1058112.0,1284355.6749986531
2024-08-01,517874.5260023532,848747.0,1366621.526002353
2024-08-02,825036.5602004533,528288.0,1353324.5602004533
2024-08-05,799016.8069310534,573180.0,1372196.8069310533
2024-08-06,519108.63256015355,782693.0,1301801.6325601535
2024-08-07,1261123.1936831535,0.0,1261123.1936831535
2024-08-08,1261123.1936831535,0.0,1261123.1936831535
2024-08-09,1261123.1936831535,0.0,1261123.1936831535
2024-08-12,1261123.1936831535,0.0,1261123.1936831535
2024-08-13,1261123.1936831535,0.0,1261123.1936831535
2024-08-14,1261123.1936831535,0.0,1261123.1936831535
2024-08-15,1261123.1936831535,0.0,1261123.1936831535
2024-08-16,1261123.1936831535,0.0,1261123.1936831535
2024-08-19,1261123.1936831535,0.0,1261123.1936831535
2024-08-20,1261123.1936831535,0.0,1261123.1936831535
2024-08-21,1261123.1936831535,0.0,1261123.1936831535
2024-08-22,1261123.1936831535,0.0,1261123.1936831535
2024-08-23,1009179.1052935035,238220.0,1247399.1052935035
2024-08-26,1236459.6664643534,0.0,1236459.6664643534
2024-08-27,1236459.6664643534,0.0,1236459.6664643534
2024-08-28,1236459.6664643534,0.0,1236459.6664643534
2024-08-29,1236459.6664643534,0.0,1236459.6664643534
2024-08-30,1236459.6664643534,0.0,1236459.6664643534
2024-09-02,1236459.6664643534,0.0,1236459.6664643534
2024-09-03,1236459.6664643534,0.0,1236459.6664643534
2024-09-04,907777.5590401033,316755.0,1224532.5590401033
2024-09-05,899411.1312410533,350141.0,1249552.1312410533
2024-09-06,1230346.4673977534,0.0,1230346.4673977534
2024-09-09,985381.5643568535,248636.99999999997,1234018.5643568535
2024-09-10,741669.2627935036,466488.0,1208157.2627935037
2024-09-11,1174609.3644535036,0.0,1174609.3644535036
2024-09-12,1174609.3644535036,0.0,1174609.3644535036
2024-09-13,1174609.3644535036,0.0,1174609.3644535036
2024-09-18,1174609.3644535036,0.0,1174609.3644535036
2024-09-19,1174609.3644535036,0.0,1174609.3644535036
2024-09-20,1174609.3644535036,0.0,1174609.3644535036
2024-09-23,1174609.3644535036,0.0,1174609.3644535036
2024-09-24,939860.5879231037,234608.0,1174468.5879231037
2024-09-25,703333.0197178037,442977.0,1146310.0197178037
2024-09-26,969324.2988344537,162799.0,1132123.2988344538
2024-09-27,1137905.0980685537,0.0,1137905.0980685537
2024-09-30,1137905.0980685537,0.0,1137905.0980685537
2024-10-08,1137905.0980685537,0.0,1137905.0980685537
2024-10-09,742247.8262975536,372965.0,1115212.8262975537
2024-10-10,830266.7549179039,286857.0,1117123.7549179038
2024-10-11,872798.9106601039,237831.0,1110629.910660104
2024-10-14,624709.2214747038,534906.0,1159615.2214747039
2024-10-15,709382.2875386538,473512.0,1182894.2875386537
2024-10-16,699757.7216854038,466446.0,1166203.721685404
2024-10-17,705625.040806904,472273.0,1177898.040806904
2024-10-18,691691.045737904,489921.0,1181612.045737904
2024-10-21,723521.6357584039,475668.0,1199189.635758404
2024-10-22,731553.791389004,483322.0,1214875.7913890039
2024-10-23,751591.3042205541,491985.0,1243576.304220554
2024-10-24,728547.2330972542,499857.0,1228404.2330972543
2024-10-25,586374.6154138042,677420.0,1263794.615413804
2024-10-28,597107.0755810041,764882.0,1361989.0755810041
2024-10-29,360208.54556155414,1049893.0,1410101.5455615541
2024-10-30,859230.3469484542,597740.0,1456970.3469484542
2024-10-31,530777.9295508041,985315.0,1516092.9295508042
2024-11-01,705603.873128204,725060.0,1430663.8731282041
2024-11-04,672809.5667215044,726468.0,1399277.5667215046
2024-11-05,857113.6213754544,594402.0,1451515.6213754544
2024-11-06,717934.9380470545,753687.0,1471621.9380470545
2024-11-07,871929.7935856046,582442.0,1454371.7935856045
2024-11-08,871502.8959991046,616222.0,1487724.8959991047
2024-11-11,878312.0629748548,591611.0,1469923.0629748548
2024-11-12,881672.7869779047,596695.0,1478367.7869779048
2024-11-13,871942.1085262047,567278.0,1439220.1085262047
2024-11-14,1137099.8464100547,288412.0,1425511.8464100547
2024-11-15,1374019.621063155,46480.0,1420499.621063155
2024-11-18,1374019.621063155,51135.0,1425154.621063155
2024-11-19,1135905.622167405,288708.0,1424613.622167405
2024-11-20,854868.0225412049,611418.0,1466286.022541205
2024-11-21,713837.296920555,758747.0,1472584.296920555
2024-11-22,754362.326583255,702759.0,1457121.326583255
2024-11-25,1185924.644189655,244360.0,1430284.644189655
2024-11-26,1427301.7430657549,0.0,1427301.7430657549
2024-11-27,989752.3490014048,464092.0,1453844.3490014048
2024-11-28,870315.274260705,588720.0,1459035.2742607049
2024-11-29,852247.5159917551,594644.0,1446891.515991755
2024-12-02,862456.1573369551,601385.0,1463841.157336955
2024-12-03,887466.736423305,600424.0,1487890.736423305
2024-12-04,868826.3039263051,607721.0,1476547.3039263051
2024-12-05,865497.5113951052,605747.0,1471244.5113951052
2024-12-06,1292235.336344805,176609.99999999997,1468845.336344805
2024-12-09,873027.7006069052,608936.0,1481963.7006069052
2024-12-10,703051.9483385552,797663.0,1500714.9483385552
2024-12-11,783477.681797805,744975.0,1528452.681797805
2024-12-12,796123.4702666551,731350.0,1527473.470266655
2024-12-13,790428.5640182552,759505.0,1549933.564018255
2024-12-16,953860.4408317053,611234.0,1565094.4408317055
2024-12-17,800445.0425936556,694126.0,1494571.0425936556
2024-12-18,817051.1510600558,676709.0,1493760.151060056
2024-12-19,863112.7058003558,636768.0,1499880.7058003559
2024-12-20,884555.3465090559,576261.0,1460816.346509056
2024-12-23,847215.4322759558,606697.0,1453912.4322759558
2024-12-24,878634.8322827559,657984.0,1536618.832282756
2024-12-25,271121.51252530597,1185611.0,1456732.512525306
2024-12-26,1022573.0401366062,434795.0,1457368.0401366062
2024-12-27,884885.3358830562,567623.9999999999,1452509.335883056
2024-12-30,852867.4087160563,591360.0,1444227.4087160563
2024-12-31,817058.3657591562,544624.0,1361682.3657591562
2025-01-02,789350.5420055563,621988.0,1411338.5420055562
2025-01-03,799309.1341376563,636300.0,1435609.1341376563
2025-01-06,881231.2668706062,599180.0,1480411.2668706062
2025-01-07,543939.8996314063,1001639.0,1545578.8996314062
2025-01-08,1005816.2851717062,581736.0,1587552.2851717062
2025-01-09,953850.7690099063,626028.0,1579878.7690099063
2025-01-10,908491.6837784563,599902.0,1508393.6837784564
2025-01-13,887856.7873822063,589716.0,1477572.7873822064
